goalCode	targetCode	indicatorCode	seriesCode	seriesDesc	TAGS
1	1.1	1.1.1	SI_POV_DAY1	Proportion of population below international poverty line (%)	['poverty line', 'poverty', 'standard of living', 'basic needs']
1	1.1	1.1.1	SI_POV_EMP1	Employed population below international poverty line, by sex and age (%)	['poverty line', 'poverty', 'standard of living', 'basic needs', 'decent work']
1	1.2	1.2.1	SI_POV_NAHC	Proportion of population living below the national poverty line (%)	['poverty line', 'poverty', 'standard of living', 'basic needs']
1	1.3	1.3.1	SI_COV_BENFTS	[ILO] Proportion of population covered by at least one social protection benefit (%)	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	1.3	1.3.1	SI_COV_CHLD	[ILO] Proportion of children/households receiving child/family cash benefit (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'child welfare', 'children']
1	1.3	1.3.1	SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'disability benefits', 'persons with disabilities']
1	1.3	1.3.1	SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	1.3	1.3.1	SI_COV_LMKTPQ	[World Bank] Poorest quintile covered by labour market programs (%) 	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	1.3	1.3.1	SI_COV_MATNL	[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'child welfare', 'family welfare', 'maternal welfare', 'women', 'mothers', 'children']
1	1.3	1.3.1	SI_COV_PENSN	[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'old age benefits', 'ageing persons']
1	1.3	1.3.1	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']
